group,scene,condition,method,seed,configured_budget_s,actual_duration_s,duration_status,reconstruction_frames,decision_captures,path_length_m,planning_wall_time_s,eval_views,n_severe,n_clean,psnr_shared,psnr_severe,psnr_clean,psnr_cube_provisional,recorded_psnr_shared,delta_from_recorded_db,scoring,historical_completeness_5cm,historical_ssim,historical_lpips
mesh,skokloster_castle,dyn,random,0,300,300.0,complete,301,431,87.07605959136691,0.026166793948505074,40,20,20,18.50788528626025,19.280835866279833,17.734934706240665,,18.50788523544123,5.0819021879533466e-08,export_reload_legacy_dc,0.5743436128933614,0.7428443253040313,0.38259663693606855
gs,interior_0007,d0,r3con-pano,0,300,300.0,complete,301,98,131.86186634450937,35.10036254214356,80,40,40,22.393643411703152,23.498407829875074,21.28887899353124,22.069861327140256,22.393643297629712,1.1407344047142942e-07,export_reload_legacy_dc,0.12901367657968543,0.8162570756394416,0.20642772689461708
gs,interior_0007,d0,magician,0,300,300.0,complete,301,145,102.87978604346986,377.30390394086135,80,40,40,22.013097435229152,24.694757428935837,19.33143744152247,22.834802964824043,22.013097446994916,-1.1765763474613777e-08,export_reload_legacy_dc,0.11981750382994943,0.7857603026088327,0.22372887885721865
gs,interior_0007,d0,fisherrf,0,300,300.0,complete,301,111,140.4856869067234,1247.2419135500677,80,40,40,17.71180946300758,19.32239370266919,16.101225223345967,17.63931148959239,17.711809506010972,-4.300339284668553e-08,export_reload_legacy_dc,0.11856361969276975,0.6459378560655751,0.3815981856780127
gs,interior_0007,d0,gavis,0,270,270.0,complete,271,101,132.09804342884553,996.4651045530118,80,40,40,17.62919066317134,17.51138407482403,17.746997251518653,16.582261263780023,17.629190669917506,-6.746166292259659e-09,export_reload_legacy_dc,0.1123164875539935,0.6832095004618168,0.40350975064211525
gs,interior_0007,d0,random,0,300,300.0,complete,301,450,86.93591916589318,0.02560962433926761,80,40,40,18.574835156338843,19.214286921520923,17.93538339115677,17.55253425536185,18.574835190181027,-3.384218416613294e-08,export_reload_legacy_dc,0.10464656907691063,0.6992647553910502,0.3567685290356167
gs,interior_0007,d0,gleam,0,300,300.0,complete,301,47,90.58197848345382,11.201690228983352,80,40,40,18.993463557905542,18.694388753156616,19.292538362654486,17.847194683967945,19.022975027185215,-0.029511469279672298,export_reload_legacy_dc,0.10480974577969428,0.7120219082571566,0.36754529271274805
gs,interior_0007,dyn,r3con-pano,0,300,300.0,complete,301,99,122.05817404684335,39.3517884031171,80,40,40,20.571509536645596,20.361591490615886,20.781427582675295,19.20081337641194,20.571509558593373,-2.1947776929209795e-08,export_reload_legacy_dc,0.14376930822075232,0.7795220496598632,0.2573438207269646
gs,interior_0007,dyn,magician,0,300,300.0,complete,301,129,109.89978736901988,305.4794523458404,80,40,40,20.29150824404324,21.31675777430421,19.266258713782257,20.773789047085817,20.291508288191864,-4.4148624311901585e-08,export_reload_legacy_dc,0.12448910151390355,0.7533203610684722,0.26144044640241193
gs,interior_0007,dyn,fisherrf,0,300,300.0,complete,301,106,143.81007257591338,1197.3991800330405,80,40,40,18.88043874597958,19.630904687714757,18.129972804244396,18.759848088787916,18.880438726653438,1.9326140687780935e-08,export_reload_legacy_dc,0.13274935976659596,0.7017103299149312,0.31726662918226795
gs,interior_0007,dyn,gavis,0,270,270.0,complete,271,92,130.20362510971148,889.2348193629987,80,40,40,19.25506639314056,18.859026324877107,19.65110646140401,18.404627527848454,19.255066394452605,-1.3120455832904554e-09,export_reload_legacy_dc,0.11798493539593048,0.7228617267450318,0.36358532345620914
gs,interior_0007,dyn,random,0,300,300.0,complete,301,434,102.32900905620681,0.026275180774973705,80,40,40,17.094612012345955,16.885111417156484,17.304112607535437,15.627387341217473,17.09461199745772,1.488823642148418e-08,export_reload_legacy_dc,0.09523037360512547,0.6493611433077604,0.44422415173612534
gs,interior_0007,dyn,gleam,0,300,244.77400344454568,shortened,245,40,58.26082371678445,8.892577717975655,80,40,40,18.445333496018495,18.86988198028309,18.0207850117539,19.56358993411018,18.468389276575,-0.023055780556504146,export_reload_legacy_dc,0.0931154154135323,0.6695222045178525,0.3468925296270754
